unit_id,notif_type,comment
100101,1,"スタミナ全回復っ！あたしも元気満タンだよ！準備が出来たら、冒険へレッツゴー！"
100101,2,"ギルドハウスのスキップチケットがいっぱいだって！パパッとやっつけちゃうよー！"
100101,3,"騎士くん！ギルドハウスのスタミナがいっぱいだよ！困ってる人を助けるには体力が大事だよね！"
100101,4,"ギルドハウスのEXPポーションがいっぱいだね！たくさんもっともーっと飲んで強くなるぞー！"
100101,5,"ギルドハウスのマナがいっぱいになったよ！何に使うか迷っちゃうね！騎士くんはもう決めた？"
100101,6,"やっほー！ギルドハウスのアイテムがぜんぶいっぱいだよ！…もしかして騎士くん、忙しいの？"
100201,1,"騎士クン、スタミナが全回復したよ。…冒険に行くなら、わたしも連れて行って欲しいな"
100201,2,"ギルドハウスのスキップチケットがいっぱいだよ。これがあれば、あんまり戦わなくていいのかな？"
100201,3,"ギルドハウスのスタミナがいっぱいになったよ。…騎士クン。良かったら、一緒にお出かけしない？"
100201,4,"ギルドハウスのEXPポーションがいっぱいになったよ。少しでも、魔法が上手くなるといいな…"
100201,5,"ギルドハウスのマナがいっぱいになったよ。わたしもちょっとは強くなれるかな…？"
100201,6,"騎士クン。ギルドハウスのアイテムがいっぱいになってるから…一緒に、受け取りに行かない？"
100301,1,"スタミナが全回復したね。強くなるためには、実戦で経験を積むのが一番だ。さあ行こう！"
100301,2,"ギルドハウスのスキップチケットがいっぱいだ。敵を楽に倒せるのは、私たちが強くなった証拠だね"
100301,3,"ギルドハウスのスタミナがいっぱいだね。体力を持て余しているなら、修行に付き合って欲しいな"
100301,4,"ギルドハウスのEXPポーションがいっぱいだよ。たゆまぬ研鑽こそが、次の勝利への近道だよ"
100301,5,"ギルドハウスのマナがいっぱいだね。これで剣技により磨きをかけられる。まだまだ強くなれそうだ"
100301,6,"ギルドハウスで受け取れるアイテムがすべていっぱいだよ。早めに受け取っておくこと。いいね？"
100401,1,"にいちゃん、スタミナが全回復したよ！これでミソギと遊びに行けるね！"
100401,2,"ギルドハウスのスキップチケットがいっぱいになったみたい！よーし、にいちゃんと探険に出発だ～！"
100401,3,"ギルドハウスのスタミナがいっぱいになったよ！早くおいでよ、にいちゃん！"
100401,4,"ギルドハウスのEXPポーションがいっぱいだー！ミソギ、にいちゃんより大きくなっちゃうかも！？"
100401,5,"ギルドハウスのマナがいっぱいだよ！ミソギ、新しいイタズラグッズが欲しいな～"
100401,6,"ギルドハウスのアイテムがいっぱいだよ！早く受け取らないと、ミソギがもらっちゃうよ～♪"
100501,1,"スタミナが全回復したッス！ここからスーパーヒーロータイムの始まりッスね！"
100501,2,"ギルドハウスのスキップチケットがいっぱいになったみたいッス！これで冒険が捗るッスね！"
100501,3,"ギルドハウスのスタミナがいっぱいになったッスよ！さあ、世界の平和を守りに出発ッス！"
100501,4,"ギルドハウスのEXPポーションがいっぱいになったッス！絶対無敵のヒーローへの近道ッスね！"
100501,5,"ギルドハウスのマナがいっぱいになったッスね…ひ、ヒーローの人形とか買わないッスか！？"
100501,6,"ギルドハウスで受け取れるアイテムがいっぱいッスよ！回収して冒険の準備を整えるッス！"
100601,1,"スタミナが回復しましたよ。アカリ、またお兄ちゃんとしたいな～♪"
100601,2,"ギルドハウスのスキップチケットがいっぱいです。アカリといっしょにイキましょう～バトルに♪"
100601,3,"ギルドハウスのスタミナが回復したみたい。アカリ、もう待ちきれないです♪"
100601,4,"ギルドハウスのEXPポーションがいっぱいです。アカリ、まだまだ成長しちゃいますよ～♪"
100601,5,"ギルドハウスのマナがいっぱいになりましたよ～アカリ、欲しくてたまらないです～"
100601,6,"お兄ちゃん、いっぱいたまってますよ。ギルドハウスで受け取れるアイテム全部が♪"
100701,1,"スタミナが全回復したの～。とっととプリンを買いに行けなの～"
100701,2,"ギルドハウスのスキップチケットがいっぱいになったの！プリン探しの旅に出かけるの！"
100701,3,"ギルドハウスのスタミナがいっぱいなの～。全部プリンのために使うの～"
100701,4,"ギルドハウスのEXPポーションがいっぱいになったの～。プリンと一緒にミヤコによこすの～"
100701,5,"ギルドハウスのマナがいっぱいになったの！これでプリンがたくさん買えるの～！"
100701,6,"ギルドハウスで貰えるアイテムがいっぱいになったの。とっとと受け取ってミヤコにプリンを献上するの！"
100801,1,"スタミナが回復したようだね。コンディションがベストなボク…つまり完璧なる美ということだよ！"
100801,2,"ギルドハウスのスキップチケットがいっぱいだよ。バトルをスキップして、ボクをじっくり見なよ♪"
100801,3,"ギルドハウスのスタミナが回復したみたいだね。これで美しいボクを万全の状態で見られるね♪"
100801,4,"ギルドハウスのEXPポーションがいっぱいだって。ボクの美がもっと進化しちゃいそう♪"
100801,5,"ギルドハウスのマナがいっぱいだって。ボクへのプレゼントに使ってもいいよ♪"
100801,6,"ギルドハウスで受け取れるアイテムが、全部いっぱいのようだね。それ、全部ボクにくれるのかい？"
100901,1,"シグルドよ、我々のスタミナが全回復したぞ！今こそ前進の時！この疾風の冥姫が敵を蹂躙しよう！"
100901,2,"我々の根城のスキップチケットの貯蔵が限界に達したぞ！遠慮せずに受け取るがいい！"
100901,3,"我々の本拠地のスタミナが今にも溢れそうだ！活力を無駄にするなよ、シグルド！"
100901,4,"ギルドハウスのEXPポーションが補充されたな！更なる力を得て、最強へと近づこうではないか！"
100901,5,"我々のギルドハウスのマナが満杯だぞ！シグルドよ、当然私にも分けてくれるよな？"
100901,6,"ギルドハウスで受け取れるアイテムが限界まで貯まったな！貴様が受け取らないなら、私が頂くぞ？"
101001,1,"スタミナが全回復したみたいやわぁ。一緒にお出かけしまひょ♪"
101001,2,"ギルドハウスのスキップチケットがいっぱいらしいわぁ。楽になるんはええことやねぇ。"
101001,3,"ギルドハウスのスタミナがいっぱいやわぁ。王子はんさえよければ、一緒に見回りにいかへん？"
101001,4,"ギルドハウスのEXPポーションが余っとるんやねぇ。飲んだら、魔法が成功しやすくなるやろか？"
101001,5,"ギルドハウスのマナがいっぱいやわぁ。マナって宝石みたいで綺麗やねぇ♪"
101001,6,"ギルドハウスで受け取れるアイテムが、全部いっぱいどす。王子はんは、はんなりしてはるねぇ♪"
101101,1,"スタミナが回復したみたいですよ！冒険は準備簡単ですね！"
101101,2,"ギルドハウスのスキップチケットがいっぱいです！急がば周れ…バトルを周回しましょう！"
